Student Name,Subject,Assignment Score,Submission Date,Status,Student Email,Due Date
Student 1,Bangla,53,6/4/2025,Graded,student1@example.com,6/11/2025
Student 1,English,70,6/9/2025,Pending,student1@example.com,6/16/2025
Student 1,ICT,87,6/14/2025,Completed,student1@example.com,6/21/2025
Student 1,Math,43,6/19/2025,Graded,student1@example.com,6/26/2025
Student 1,Physics,60,6/24/2025,Pending,student1@example.com,7/1/2025
Student 1,Chemistry,77,6/29/2025,Completed,student1@example.com,7/6/2025
Student 1,Biology,94,6/3/2025,Graded,student1@example.com,6/10/2025
Student 2,Bangla,66,6/7/2025,Pending,student2@example.com,6/14/2025
Student 2,English,83,6/12/2025,Completed,student2@example.com,6/19/2025
Student 2,ICT,100,6/17/2025,Graded,student2@example.com,6/24/2025
Student 2,Math,56,6/22/2025,Pending,student2@example.com,6/29/2025
Student 2,Physics,73,6/27/2025,Completed,student2@example.com,7/4/2025
Student 2,Chemistry,90,6/1/2025,Graded,student2@example.com,6/8/2025
Student 2,Biology,46,6/6/2025,Pending,student2@example.com,6/13/2025
Student 3,Bangla,79,6/10/2025,Completed,student3@example.com,6/17/2025
Student 3,English,96,6/15/2025,Graded,student3@example.com,6/22/2025
Student 3,ICT,52,6/20/2025,Pending,student3@example.com,6/27/2025
Student 3,Math,69,6/25/2025,Completed,student3@example.com,7/2/2025
Student 3,Physics,86,6/30/2025,Graded,student3@example.com,7/7/2025
Student 3,Chemistry,42,6/4/2025,Pending,student3@example.com,6/11/2025
Student 3,Biology,59,6/9/2025,Completed,student3@example.com,6/16/2025
Student 4,Bangla,92,6/13/2025,Graded,student4@example.com,6/20/2025
Student 4,English,48,6/18/2025,Pending,student4@example.com,6/25/2025
Student 4,ICT,65,6/23/2025,Completed,student4@example.com,6/30/2025
Student 4,Math,82,6/28/2025,Graded,student4@example.com,7/5/2025
Student 4,Physics,99,6/2/2025,Pending,student4@example.com,6/9/2025
Student 4,Chemistry,55,6/7/2025,Completed,student4@example.com,6/14/2025
Student 4,Biology,72,6/12/2025,Graded,student4@example.com,6/19/2025
Student 5,Bangla,44,6/16/2025,Pending,student5@example.com,6/23/2025
Student 5,English,61,6/21/2025,Completed,student5@example.com,6/28/2025
Student 5,ICT,78,6/26/2025,Graded,student5@example.com,7/3/2025
Student 5,Math,95,7/1/2025,Pending,student5@example.com,7/8/2025
Student 5,Physics,51,6/5/2025,Completed,student5@example.com,6/12/2025
Student 5,Chemistry,68,6/10/2025,Graded,student5@example.com,6/17/2025
Student 5,Biology,85,6/15/2025,Pending,student5@example.com,6/22/2025
